,,,가이즈카향나무,겹벚나무,눈주목,눈향나무,느티나무,단풍나무,독일가문비,등나무,라일락,매화,메타세콰이어,모과나무,목련,무궁화,반송,팥배나무,백목련,백송,베롱나무,사철나무,산당화,산딸나무,산벚나무,산사나무,산수유,산철쭉,서양측백,섬잣나무,스트로브잣나무,실화백,애기꽃사과,영산홍,오동나무,왕벚나무,은행나무,자목련,자작나무,잣나무,적송,전나무,중국단풍,쥐똥나무,진달래,철쭉,튤립나무,플라타너스,향나무,홍단풍,화백,황금실화백,회양목,회화나무,히말라야시다,
환경적특성,생육환경,토성,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
환경적특성,생육환경,음양성,양수,양수,음수,양수,중용수,중용수,음수,중용수,중용수,양수,양수,양수,중용수,양수,중요수,음수,중요수,음수,양수,양수,-,중용수,-,중용수,양수,양수,양수,음수,음수,양수,-,양수,극양수,양수,양수,양수,극양수,음수,극양수,음수,중용수,중용수,중용수,음수,중용수,중용수,양수,양수,음수,-,중용수,중용수,중용수,
환경적특성,생육환경,생장속도,느림,보통,느림,느림,보통,보통,보통,빠름,보통,보통,보통,보통,보통,느림,보통,보통,보통,보통,보통,보통,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
환경적특성,생육환경,산도,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
환경적특성,생육환경,토양깊이,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
환경적특성,생육환경,기후대,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
환경적특성,환경내성,내공해성,강,강,중,강,중,강,중,중용수,강,중,중,강,중,강,중,약,중,중,약,강,하,강,강,중,약,강,강,중,강,중,-,중,강,중,강,중,약,중,중,극약,강,강,중용수,약,강,강,강,강,강,-,강,강,강,
환경적특성,환경내성,내건성,적윤,적습,적윤,적윤,적윤,적윤,적윤,적윤,적윤,적윤,습윤,적윤,적윤,내건,적윤,내건,적윤,적윤,적윤,적윤,습윤,적윤,적습,적윤,적윤,적윤,적윤,적윤,적윤,적윤,-,적윤,적윤,적윤,내건,적윤지,적윤지,적윤지,내건,적윤지,적습,적윤,적윤,적윤,적윤지,적윤,내건,적습,내건,-,적윤,적윤,적윤,
환경적특성,환경내성,내습성,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
환경적특성,환경내성,내화성,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
환경적특성,환경내성,내한성,강,약,강,강,강,강,강,강,강,중,약,강,강,중,강,강,강,강,약,강,강,강,강,강,강,강,강,강,강,강,-,중,중,중,강,중,강,강,강,강,강,강,강,강,강,강,강,강,강,-,강,강,중용수,
환경적특성,환경내성,내염성,중,중,중,강,약,중용수,중,강,강,약,중,강,중,강,중,중,강,약,중,강,-,약,강,중,약,강,중,강,약,중,-,강,강,강,약,약,약,중,중,약,-,강,강,강,약,중용수,중,중,중,-,중용수,강,강,
외적특성,수형,생장형,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,수평형,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
외적특성,수형,수관형,원추형,-,피복형,피복형,평정형,원정형,원추형,덩굴형,타원형,원정형,원추형,원정형,원정형,원형,하수형,원정형,평정형,원정형,원정형,원형,구형,평정형,원정형,-,선형,선형,원추형,-,원추형,원추형,-,-,원정형,원정형,원추형,평정형,원추형,원추형,원추형,원추형,원형 | 타원형,부정형,타원형,선형,광원추형,원정형,원추형,원형,원추형,-,원형,원형 | 타원형,원추형,
외적특성,수형,성상,상록침엽교목,낙엽활엽교목,상록침엽관목,상록침엽관목,낙엽활엽교목,낙엽활엽교목,상록침엽교목,낙엽활엽만경류,낙엽활엽교목,낙엽활엽교목,낙엽침엽교목,낙엽활엽교목,낙엽활엽교목,낙엽활엽관목,상록침엽교목,낙엽활엽교목,낙엽활엽교목,상록침엽교목,낙엽활엽교목,상록낙엽활엽,낙엽활엽관목,낙엽활엽교목,낙엽활엽교목,낙엽활엽교목,낙엽활엽교목,낙엽활엽관목,상록침엽교목,상록침엽교목,상록침엽교목,상록침엽교목,-,상록활엽관목,낙엽활엽교목,낙엽활엽교목,낙엽침엽교목,낙엽활엽소교목,낙엽활엽교목,상록침엽교목,상록침엽교목,상록침엽교목,낙엽활엽교목,낙엽활엽관목,낙엽활엽관목,낙엽활엽관목,낙엽활엽교목,낙엽활엽교목,상록침엽교목,낙엽활엽교목,상록침엽교목,-,상록활엽교목,낙엽활엽교목,상록침엽교목,
외적특성,잎,색상,초,초,초,초,초,초,초,초,초,초,초,초,초,초,초,초,초,초,초,초,초,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,녹색,연녹색,-,-,적색 | 청색,담녹색,-,녹색,녹색,녹색,
외적특성,잎,모양,바늘꼴,타원꼴,타원꼴,바늘꼴,타원꼴,-,-,긴타원꼴,넓은타원꼴,-,바늘꼴,긴타원꼴,넓은타원꼴,-,바늘꼴,타원꼴,-,바늘꼴,타원꼴,타원꼴,타원형,-,타원형,난형,타원꼴,긴타원형,난형,선형,선형,-,-,피침꼴,원형,난형 | 도란형,삼각꼴,도란형,-,침형,침형,침형,-,도피침형 | 타원형,,도란형,-,광난형,-,-,-,-,타원형 | 도란형,-,선형,
외적특성,잎,차례,마주나기,어긋나기,어긋나기,마주나기,어긋나기,마주나기,-,어긋나기,마주나기,-,마주나기,어긋나기,어긋나기,-,-,어긋나기,-,-,마주나기,마주나기,호생,대생,호생,호생,호생,-,-,속생,속생,-,-,호생,대생,호생,-,호생,-,-,-,-,대생,대생,호생,호생,호생,-,대생 | 침엽,대생,대생,-,-,호생,-,
외적특성,잎,가장자리,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,톱니,전연 | 파상,-,-,-,-,-,-,톱니,-,-,전연,-,복거치,전연,-,복거치,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
외적특성,잎,잎끝,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,예두,점첨두,예두 | 첨두,-,-,-,-,-,-,-,-,-,-,점첨두,둔두,-,예첨두,-,-,-,둔두 | 원두,-,첨두 | 점첨두,-,철두,-,-,-,-,-,둔두 | 미요두,예두,-,
외적특성,잎,잎밑,-,의저,예저,-,의저,-,-,의저,아심장저,-,-,예저,예저,-,-,의저,-,-,심장저,의저,-,의저,의저,-,의저,-,-,-,-,-,-,예저,의저,원저,예저,-,설저 | 아심장저,-,-,-,-,예저,예저,-,-,-,-,-,-,-,예저,-,-,
외적특성,잎,잎맥,-,망상맥,평행맥,-,망상맥,-,-,-,망상맥,-,-,망상맥,망상맥,-,-,망상맥,-,-,망상맥,-,망상맥,-,망상맥,망상맥,망상맥,-,-,-,-,-,-,망상맥,-,-,차상맥,-,-,평행맥,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
외적특성,꽃,색상,황록색,분홍색,연노란 | 연녹색,황록색,담황록색,홍색,황갈색,담자색,연한자주색,백색 | 담홍색,,담홍색,백색,다양,황갈색,백색,백색,담황색 | 갈색,적색,황녹색,빨,흰,-,백색 | 담홍색,백색 | 담홍색,적자색,담자갈색,담녹색,황갈색 | 분홍색,자갈색,-,적색 | 분홍색 | 흰색,자주색,연한홍색,녹색 | 노란색,자색,-,녹황색 | 붉은색,-,-,담황색,백색,담홍색,연분홍색,황녹색,녹색,황녹색,암홍색,자갈색,-,황색,황백색,녹자색 | 황갈색,
외적특성,꽃,개화시기,4월 | 5월,4월 | 5월,4월,4월,4월 | 5월,4월 | 5월,6월,5월 | 6월,4월 | 5월,2월 | 3월,5월,5월,4월,7월 | 8월 | 9월,4월,5월,4월,5월,7월 | 8월 | 9월,6월 | 7월,봄,6월,-,4월 | 5월,4월 | 5월,5월,4월 | 5월,6월,5월,4월,-,4월 | 5월,5월 | 6월,4월,-,3월 | 4월,4월 | 5월,5월,4월 | 5월,4월,4월 | 5월,5월 | 6월,4월 | 5월,4월 | 5월,5월 | 6월,5월,4월,4월 | 5월,4월,-,4월 | 5월,8월,10월,
외적특성,꽃,차례,-,산형꽃차례 | ,미상꽃차례 | 총상꽃차례,,취산꽃차례,산방꽃차례,-,총상꽃차례,원추꽃차례,-,-,-,-,-,-,산형꽃차례,-,-,원추꽃차례,취산꽃차례,-,두상,-,산방 | 편평,산방 | 편평,-,-,-,-,-,-,-,원뿔 | 원추,-,-,-,-,수상 | 이삭,-,-,산방화서,총상화서 | 복총상화서,,산형화서,양성화,자중이주,자웅이주,양성화,-,-,양성화,복총상화서,자웅일가화,
외적특성,열매,색상,흑자색,-,-,흑자색,-,-,갈색,연자주색,-,황녹색,-,황색,적색,,흑갈색,황홍색,적색,회갈색,갈색,적색,노,적색,-,-,적색,-,황갈색,-,-,-,-,-,-,흑색,황색,갈색,-,-,-,-,-,흑색,-,-,-,갈색,자흑색,-,갈색,-,녹색,-,회갈색,
외적특성,열매,개과시기,10월 | 11월,6월 | 7월 | 8월,8월 | 9월,10월 | 11월,-,10월,10월,9월 | 10월,9월,7월,9월,9월,9월 | 10월,10월,9월,9월 | 10월,9월 | 10월,9월,10월,10월,9월 | 10월,9월 | 10월,6월 | 7월 | 8월,10월 | 9월,8월 | 9월 | 10월,9월,9월,9월,10월,9월 | 10월,-,10월 | 9월,10월 | 11월,6월 | 7월,10월 | 11월,10월,9월,9월,9월,10월,-,10월,10월,10월,10월 | 11월,10월,9월,-,9월 | 10월,-,6월 | 7월,10월,9월,
외적특성,열매,종류,구과,핵과,핵과,구과,핵과,시과,구과,협과,삭과,핵과,구과,이과,,,구과,이과,,구과,삭과,삭과,이과,취과,핵과,이과,이과,삭과,-,난원형,타원형,-,-,삭과,삭과,-,핵과,-,-,구과,구과,-,시과,핵과,삭과,삭과,-,두상구과,구과,시과,-,-,삭과,협과,구과,
외적특성,수피색상,,-,암자갈색,적갈색,-,-,회갈색,-,-,-,-,갈색,-,-,-,-,-,-,백색,-,#VALUE!,-,적갈색,-,회색,회색,-,-,-,-,-,-,-,-,-,-,-,-,암갈색,흑갈색,-,황갈색 | 암갈색,갈회색,-,황갈색,회백색,암갈색 | 백색,흑갈색 | 적갈색 | 암갈색 | 녹색,,갈색,-,녹색,녹색 | 회색,회갈색,
외적특성,뿌리,종류,천근성,심근성,천근성,천근성,심근성,심근성,천근성,천근성,천근성,천근성,천근성,천근성,심근성,천근성,심근성,심근성,심근성,-,천근성,천근성,천근성,심근성,-,-,천근성,천근성,천근성,-,-,천근성,-,천근성,천근성 | 심근성,심근성,심근성,-,천근성,심근성,심근성,천근성,-,천근성,천근성,천근성,심근>천근성,-,천근성,-,천근성,-,천근성,-,천근성,
외적특성,뿌리,유형,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
외적특성,가시,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
관리적특성,이식,,용이,-,용이,용이,용이,용이,용이,용이,용이,보통,용이,용이,용이,용이,보통,용이,용이,용이,용이,용이,용이,용이,-,보통,용이,용이,용이,용이,용이,용이,-,보통,용이,보통,용이,곤란,곤란,곤란,용이,용이,용이,용이,용이,곤란,곤란,용이,용이,용이,용이,-,용이,용이,용이,
관리적특성,번식,,실생 | 삽목,접목,실생 | 삽목,실생 | 삽목,실생,실생,실생 | 삽목,실생 | 삽목,실생 | 삽목,실생 | 접목,실생 | 접목,실생 | 접목,실생 | 접목,접목,실생 | 접목,실생 | 분근,실생 | 삽목,실생,실생 | 삽목 | 분주,실생 | 삽목,실생 | 접목,실생,실생,실생 | 삽목,실생,실생 | 삽목,실생 | 삽목,실생 | 접목,실생,실생 | 삽목,-,실생 | 삽목,실생 | 삽목,실생 | 접목,실생 | 삽목,실생 | 삽목,실생,실생,실생,실생 | 삽목,실생 | 삽목,실생 | 삽목,실생,실생 | 분주,실생,실생 | 삽목,실생 | 삽목,실생,실생 | 삽목,-,실생 | 삽목,실생 | 삽목,실생 | 삽목,
관리적특성,병충해,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,반점병,-,귤나방 | 미루나무재주나방,반점병 | 흰불나방 | 좀나방,잿빛점무늬병 | 탄저병 | 방패벌레 | 깍지벌레,엽고병 | 측백나무하늘소,엽진병 | 엽고병 | 소나무왕진딧물,엽진병 | 엽고병 | 송충이 | 좀벌레,엽고병 | 엽진병 | 측백나무하늘소,-,엽고병 | 백반병 | 반점병 | 방패벌레 | 깍지벌레,약,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
관리적특성,전정,,강,-,강,강,중,강,중,강,강,강,중,강,중,강,강,강,중,약,강,강,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
관리적특성,시비,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,비옥,-,비옥,-,보통,비옥,비옥,비옥,보통,-,비옥,비옥,비옥,비옥,비옥,보통,보통,척박지,비옥,-,-,-,-,-,-,-,-,-,-,-,-,-,